日付,始値,高値,安値,終値,出来高,終値調整値
2019/1/4,166.6,170.9,166.5,170.6,124515100,170.6
2019/1/7,174,174.1,171,171.9,143772900,171.9
2019/1/8,172.5,174.8,172.4,172.4,143930800,172.4
2019/1/9,174,174.3,172.7,173.7,137029700,173.7
2019/1/10,173.1,174.3,172.6,173.3,140570900,173.3
2019/1/11,173.8,174.5,172.8,174.1,142478400,174.1
2019/1/15,175,176.4,174.7,174.9,155782300,174.9
2019/1/16,175,175.1,173.4,175,140757100,175
2019/1/17,176,177.1,174.7,175.3,135382600,175.3
2019/1/18,176.2,177.1,175.8,176.2,114402000,176.2
2019/1/21,177.9,178.4,177.2,177.5,110216000,177.5
2019/1/22,178,178,176.1,176.9,109115400,176.9
2019/1/23,176.5,178,176.1,176.3,113771500,176.3
2019/1/24,176.7,178.5,176.3,178.5,130739400,178.5
2019/1/25,177.9,179.4,177.9,179.1,116853000,179.1
2019/1/28,178.9,179.2,178,178.4,81648400,178.4
2019/1/29,178.5,179.1,177.5,178.8,87181400,178.8
2019/1/30,178.5,178.9,177.6,177.9,104309800,177.9
2019/1/31,179.3,180.2,179,179.4,109939600,179.4
2019/2/1,176,176.9,172.1,172.9,227990600,172.9
2019/2/4,175,175.9,174.2,174.8,108454500,174.8
2019/2/5,174.2,175,173.9,174.3,89904000,174.3
2019/2/6,175.2,175.8,174.8,174.9,104279100,174.9
2019/2/7,174.3,174.4,172.9,173.4,103891900,173.4
2019/2/8,172.1,172.3,171,171,120505600,171
2019/2/12,171.8,174.2,171.5,173.4,116373100,173.4
2019/2/13,174.5,175.2,173.9,175.1,100872400,175.1
2019/2/14,174.1,175.1,173.2,174.7,98851500,174.7
2019/2/15,173.6,173.7,172.2,173.3,115187500,173.3
2019/2/18,175.8,176.4,175,175.1,98206300,175.1
2019/2/19,175.1,176.6,174.9,176,82901100,176
2019/2/20,175.3,176.4,175.3,176.2,80247500,176.2
2019/2/21,176.4,176.6,174.6,175.5,111329200,175.5
2019/2/22,174.6,175.4,174.1,175.3,75227100,175.3
2019/2/25,176,176.1,175.2,175.5,75584200,175.5
2019/2/26,175.2,175.6,174.2,175.1,97329100,175.1
2019/2/27,175.5,176,174.9,175.4,85940900,175.4
2019/2/28,175.5,176.1,175,175.2,92084900,175.2
2019/3/1,176.2,176.5,175.4,175.5,80518700,175.5
2019/3/4,176.8,177.2,175.9,176.1,78567500,176.1
2019/3/5,175,176,174.7,175.9,94529600,175.9
2019/3/6,175.4,175.5,174.7,175.2,90679200,175.2
2019/3/7,172.4,172.7,171.5,172.5,175067400,172.5
2019/3/8,170.7,171.3,169.5,170.1,184222200,170.1
2019/3/11,169.5,171.1,169.1,170.2,84924600,170.2
2019/3/12,170.8,172.8,170.7,171.9,104984000,171.9
2019/3/13,170.8,172,170.5,171.9,102269600,171.9
2019/3/14,172.5,173.2,171.1,171.1,92659000,171.1
2019/3/15,171.2,173.3,171.2,172.5,128053000,172.5
2019/3/18,173,173.7,172.7,173.6,97534600,173.6
2019/3/19,173,174.7,172.8,174.2,118116700,174.2
2019/3/20,175,175.7,174.6,175.5,106216600,175.5
2019/3/22,174.5,175.7,173.3,175.5,115652900,175.5
2019/3/25,173,174,172.3,173.6,116869400,173.6
2019/3/26,173.7,175,172.8,174.7,188826800,174.7
2019/3/27,170.6,172,170.5,171.4,121974800,171.4
2019/3/28,171,171.3,169.9,171.1,96741900,171.1
2019/3/29,172,172.5,171.2,171.3,91423600,171.3
2019/4/1,173,175,172.7,173.3,134386800,173.3
2019/4/2,175.5,175.7,174,174.1,101147300,174.1
2019/4/3,174,175.4,173.7,174.9,95897100,174.9
2019/4/4,174.7,175.4,174.4,174.8,56623100,174.8
2019/4/5,174.4,175.2,174.1,174.8,87272700,174.8
2019/4/8,174.6,174.8,173.4,174.1,66235700,174.1
2019/4/9,173.4,173.8,172.5,173.6,65084600,173.6
2019/4/10,172.3,172.6,171.4,172.6,62880900,172.6
2019/4/11,171.6,171.9,170.5,171.6,69922000,171.6
2019/4/12,172.6,173.1,171.7,171.7,58891000,171.7
2019/4/15,173.8,174.4,172.8,173.6,86991200,173.6
2019/4/16,172.9,173.9,172.6,173.6,48859800,173.6
2019/4/17,174.7,176.4,174.5,175.5,134686900,175.5
2019/4/18,175.9,177.5,175.2,175.6,85117400,175.6
2019/4/19,175.8,176,174.3,174.3,58140100,174.3
